Fund Number, Fund Name, Offer Number, Transitioning Kiwi Saver Scheme Number, Transitioning Scheme Name, Quarterly / Annual Indicator, Period to which disclosure statement relates, Offer Version Number, Scheme Number, Scheme Name, Fund Description, Value of fund as at last quarter, Currency of fund, Number of members in the fund, Date the fund started, Market index description, Market index past year return (%), Past year return(%) net charges and tax, Past year return (%) net of charges gross of tax, Market index return since fund started (%), Return since fund started (%) net, Annual Return Year 1, Annual Return Year 2, Annual Return Year 3, Annual Return Year 4, Annual Return Year 5, Annual Return Year 6, Annual Return Year 7, Annual Return Year 8, Annual Return Year 9, Annual Return Year 10, Market Index Annual Return %1, Market Index Annual Return %2, Market Index Annual Return %3, Market Index Annual Return %4, Market Index Annual Return %5, Market Index Annual Return %6, Market Index Annual Return %7, Market Index Annual Return %8, Market Index Annual Return %9, Market Index Annual Return %10, Annual Return % 1, Annual Return % 2, Annual Return % 3, Annual Return % 4, Annual Return % 5, Annual Return % 6, Annual Return % 7, Annual Return % 8, Annual Return % 9, Annual Return % 10, Total Annual Fund Fees, Manager's basic fee, Total performance-based fees (%), Other management and administration charges, Total amount of other charges, Currency of Total amount of other charges, Actual investment mix: Cash and cash equivalents, Actual investment mix: New Zealand fixed interest, Actual investment mix: International fixed interest, Actual investment mix: Australasian equities, Actual investment mix: International equities, Actual investment mix: Listed Properties, Actual investment mix: Unlisted Properties, Actual investment mix: Unknown, Actual investment mix: Other, Actual investment mix: Commodities, Target investment mix: Cash and cash equivalents, Target investment mix: New Zealand fixed interest, Target investment mix: International fixed interest, Target investment mix: Australasian equities, Target investment mix: International equities, Target investment mix: Listed Properties, Target investment mix: Unlisted Properties, Target investment mix: Other, Target investment mix: Commodities, Total value of 10 highest value assets as a percentage of fund net assets, Top 10 Investments 1: Name, Top 10 Investments 2: Name, Top 10 Investments 3: Name, Top 10 Investments 4: Name, Top 10 Investments 5: Name, Top 10 Investments 6: Name, Top 10 Investments 7: Name, Top 10 Investments 8: Name, Top 10 Investments 9: Name, Top 10 Investments 10: Name, Top 10 Investments 1: Percentage of fund net assets, Top 10 Investments 2: Percentage of fund net assets, Top 10 Investments 3: Percentage of fund net assets, Top 10 Investments 4: Percentage of fund net assets, Top 10 Investments 5: Percentage of fund net assets, Top 10 Investments 6: Percentage of fund net assets, Top 10 Investments 7: Percentage of fund net assets, Top 10 Investments 8: Percentage of fund net assets, Top 10 Investments 9: Percentage of fund net assets, Top 10 Investments 10: Percentage of fund net assets, Top 10 Investments 1: Type, Top 10 Investments 2: Type, Top 10 Investments 3: Type, Top 10 Investments 4: Type, Top 10 Investments 5: Type, Top 10 Investments 6: Type, Top 10 Investments 7: Type, Top 10 Investments 8: Type, Top 10 Investments 9: Type, Top 10 Investments 10: Type, Top 10 Investments 1: Country, Top 10 Investments 2: Country, Top 10 Investments 3: Country, Top 10 Investments 4: Country, Top 10 Investments 5: Country, Top 10 Investments 6: Country, Top 10 Investments 7: Country, Top 10 Investments 8: Country, Top 10 Investments 9: Country, Top 10 Investments 10: Country, Top 10 investments 1: Credit rating (if applicable), Top 10 investments 2: Credit rating (if applicable), Top 10 investments 3: Credit rating (if applicable), Top 10 investments 4: Credit rating (if applicable), Top 10 investments 5: Credit rating (if applicable), Top 10 investments 6: Credit rating (if applicable), Top 10 investments 7: Credit rating (if applicable), Top 10 investments 8: Credit rating (if applicable), Top 10 investments 9: Credit rating (if applicable), Top 10 investments 10: Credit rating (if applicable), Key Personnel 1: name, Key Personnel 2: name, Key Personnel 3: name, Key Personnel 4: name, Key Personnel 5: name, Key Personnel 1: Current Position, Key Personnel 2: Current Position, Key Personnel 3: Current Position, Key Personnel 4: Current Position, Key Personnel 5: Current Position, Key Personnel 1: Time in Current Position - years, Key Personnel 1: Time in Current Position - months, Key personnel 2: Time in Current Position - years, Key Personnel 2: Time in Current Position - months, Key Personnel 3: Time in Current Position - years, Key Personnel 3: Time in Current Position - months, Key Personnel 4: Time in Current Position - years, Key Personnel 4: Time in Current Position - months, Key Personnel 5: Time in Current Position - years, Key Personnel 5: Time in Current Position - months, Key Personnel 1: Previous or Other Position, Key Personnel 2: Previous or Other Position, Key Personnel 3: Previous or Other Position, Key Personnel 4: Previous or Other Position, Key Personnel 5: Previous or Other Position, Key Personnel 1: Time in Previous Position - years, Key Personnel 1: Time in Previous Position - months, Key Personnel 2: Time in Previous Position - years, Key Personnel 2: Time in Previous Position - months, Key Personnel 3: Time in Previous Position - years, Key Personnel 3: Time in Previous Position - months, Key Personnel 4: Time in Previous Position - years, Key Personnel 4: Time in Previous Position - months, Key Personnel 5: Time in Previous Position - years, Key Personnel 5: Time in Previous Position - months
FND7909,"GLIDEPATH AGE 30",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","GlidePath age 30 is a representation of the GlidePath life cycle. This investment option is fully invested in the Growth Fund.",479505.00,NZD,42,2017-10-31,"The market index return is made up of 100% Growth Fund market index return",13.59,,,13.59,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.95,0.39,0.13,36.00,NZD,7.3300,16.1400,0.0000,29.7600,40.6700,0.7100,5.3900,0.0000,0.0000,0.0000,5,6,9,29,42,4.5,4.5,0,0,15.5000,"BAYFAIR MALL","ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","A2 MILK COMPANY LTD.","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","MAINFREIGHT LIMITED","TAX TRADERS LIMITED 21/06/2019 20/06/2019","FREIGHTWAYS LIMITED","AUCKLAND INTERNATIONAL AIRPORT LIMITED","TAX TRADERS LIMITED 23/10/2018 24/10/2018","RYMAN HEALTHCARE LTD.",2.2100,2.0000,1.7300,1.7200,1.4900,1.3700,1.3300,1.3000,1.2100,1.1400,UNLISTED_PROPERTY,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRANK JASPER","MARK BRIGHOUSE","ASHLEY GARDYNE","SAM DICKIE","DAVID MCLEISH","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities","Senior Portfolio Manager, Fixed Interest",1,2,1,2,2,5,1,7,7,6,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited","Executive Director, Goldman Sachs International, London",12,4,5,9,2,11,5,10,3,0,
FND7910,"GLIDEPATH AGE 50",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","GlidePath age 50 is a representation of the GlidePath life cycle. This investment option invests 86% in the Growth Fund and 14% in the Conservative Fund.",1401885.00,NZD,69,2017-10-31,"The market index return is made up of 86% Growth Fund market index return and 14% Conservative Fund market index return",12.29,,,12.29,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,0.93,0.34,0.13,36.00,NZD,8.2600,19.7700,2.6200,26.5700,36.6200,0.7200,5.4400,0.0000,0.0000,0.0000,7,8,12,26,38,4.5,4.5,0,0,14.7600,"BAYFAIR MALL","ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","A2 MILK COMPANY LTD.","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","TAX TRADERS LIMITED 21/06/2019 20/06/2019","MAINFREIGHT LIMITED","TAX TRADERS LIMITED 23/10/2018 24/10/2018","FREIGHTWAYS LIMITED","AUCKLAND INTERNATIONAL AIRPORT LIMITED","RYMAN HEALTHCARE LTD.",2.2300,2.1300,1.5300,1.5300,1.3800,1.3200,1.2700,1.1800,1.1700,1.0200,UNLISTED_PROPERTY,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRANK JASPER","MARK BRIGHOUSE","ASHLEY GARDYNE","SAM DICKIE","DAVID MCLEISH","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities","Senior Portfolio Manager, Fixed Interest",1,2,1,2,2,5,1,7,7,6,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited","Executive Director, Goldman Sachs International, London",12,4,5,9,2,11,5,10,3,0,
FND7911,"GLIDEPATH AGE 60",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","GlidePath age 60 is a representation of the GlidePath life cycle. This investment option invests 43% in the Growth Fund and 57% in the Conservative Fund.",1456137.00,NZD,42,2017-10-31,"The market index return is made up of 43% Growth Fund market index return and 57% Conservative Fund market index return",8.76,,,8.76,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.89,0.17,0.13,36.00,NZD,11.2000,30.8900,10.6600,16.7600,24.1500,0.7500,5.5900,0.0000,0.0000,0.0000,13,13,24,15,25,5,5,0,0,14.5000,"ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","BAYFAIR MALL","TAX TRADERS LIMITED 23/10/2018 24/10/2018","TAX TRADERS LIMITED 21/06/2019 20/06/2019","GOVERNMENT OF NEW ZEALAND 4.5% 15-APR-2027","GOVERNMENT OF NEW ZEALAND 3.5% 14-APR-2033","10Y JAPAN GOVT BOND (OSE) DEC 18 12/12/2018","RABOBANK NEDERLAND FRN 22-MAR-2021","GOVERNMENT OF THE UNITED STATES OF AMERICA 2.25% 15-NOV-2024","MERIVALE MALL",2.5500,2.3000,1.4600,1.4200,1.2200,1.1800,1.1500,1.1100,1.0700,1.0400,CASH_AND_EQUIVALENTS,UNLISTED_PROPERTY,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,INT_FIXED_INTEREST,UNLISTED_PROPERTY,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,US,NZ,NA,NA,NA,NA,Aaa,Aaa,NA,Aa3,Aaa,NA,"FRANK JASPER","MARK BRIGHOUSE","DAVID MCLEISH","ASHLEY GARDYNE","SAM DICKIE","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, Fixed Interest","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities",1,2,1,2,7,6,2,5,1,7,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Executive Director, Goldman Sachs International, London","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited",12,4,5,9,3,0,2,11,5,10,
FND7912,"GLIDEPATH AGE 75",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","GlidePath age 75 is a representation of the GlidePath life cycle. This investment option invests 9% in the Growth Fund and 91% in the Conservative Fund.",0.00,NZD,0,2017-10-31,"The market index return is made up of 9% Growth Fund market index return and 91% Conservative Fund market index return",6.02,,,6.02,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.85,0.04,0.13,36.00,NZD,13.5200,39.6800,17.0200,9.0000,14.2900,0.7800,5.7100,0.0000,0.0000,0.0000,18,17,33,7,15,5,5,0,0,17.7300,"ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","BAYFAIR MALL","10Y JAPAN GOVT BOND (OSE) DEC 18 12/12/2018","GOVERNMENT OF THE UNITED STATES OF AMERICA 2.25% 15-NOV-2024","GOVERNMENT OF NEW ZEALAND 4.5% 15-APR-2027","TAX TRADERS LIMITED 23/10/2018 24/10/2018","GOVERNMENT OF NEW ZEALAND 3.5% 14-APR-2033","TAX TRADERS LIMITED 21/06/2019 20/06/2019","RABOBANK NEDERLAND FRN 22-MAR-2021","INTERNATIONAL FINANCE CORPORATION 3.625% 20-MAY-2020",2.8900,2.3500,1.8400,1.7000,1.6000,1.6000,1.5500,1.4400,1.4400,1.3200,CASH_AND_EQUIVALENTS,UNLISTED_PROPERTY,INT_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ,NZ,NZ,US,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,Aaa,Aaa,NA,Aaa,NA,Aa3,AAA,"FRANK JASPER","MARK BRIGHOUSE","DAVID MCLEISH","ASHLEY GARDYNE","SAM DICKIE","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, Fixed Interest","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities",1,2,1,2,7,6,2,5,1,7,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Executive Director, Goldman Sachs International, London","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited",12,4,5,9,3,0,2,11,5,10,
FND809,"CONSERVATIVE FUND",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","This fund aims to provide a conservative investment return for you through investment in mostly income assets. The portfolio is actively managed and includes cash, fixed interest, property (including aged care) and infrastructure assets and international equities.",158657360.00,NZD,11550,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",8.48,6.79,7.94,7.92,5.07,2015,2016,2017,2018,,,,,,,9.10,9.04,4.55,8.18,,,,,,,8.95,7.57,1.79,4.53,,,,,,,1.25,1.00,0.00,0.25,36.00,NZD,1.1900,71.0900,0.0000,15.3200,0.0000,12.4000,0.0000,0.0000,0.0000,0.0000,5.00%,62.50%,0.00%,16.25%,0.00%,16.25%,0.00%,0.00%,0.00%,29.5900,"INFRATIL","ASB TERM DEPOSIT","ARVIDA GROUP","METLIFECARE","Z ENERGY","Z ENERGY NOV 2021 BONDS","MERCURY ENERGY","CONTACT ENERGY","SUMMERSET GROUP HOLDINGS","KIWI PROPERTY AUG 2021 BONDS",6.2500,3.2200,3.0500,3.0300,2.8800,2.8300,2.3600,2.2200,1.9300,1.8200,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,LISTED_PROPERTY,LISTED_PROPERTY,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,LISTED_PROPERTY,NZ_FIXED_INTEREST,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,,,,,,Unrated,,,,BBB+,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND821,"QUAYSTREET ALTUM FUND",OFR10673,10054,"CRAIGS INVESTMENT PARTNERS KIWISTART DEFINED SCHEME",Quarterly,2018-09-30,159,SCH10663,"QUAYSTREET KIWISAVER SCHEME","A concentrated portfolio of shares from Australia and New Zealand which can at times include cash and fixed interest investments, targeting a long-term return above the New Zealand Official Cash Rate regardless of share market returns.",2921633.00,NZD,215,2014-10-06,"Market Index is the NZX 90 day Bank Bill Index.",1.95,11.64,11.73,2.58,9.99,2016,2017,2018,,,,,,,,3.22,2.29,1.98,,,,,,,,11.20,6.00,13.32,,,,,,,,2.18,1.12,0.90,0.16,42.00,NZD,34.0800,0.0000,0.0000,59.4400,5.2500,1.2300,0.0000,0.0000,0.0000,0.0000,0%-100%,0%-100%,0%-100%,0%-100%,0%-100%,0%-100%,0%-0%,0%-0%,0%-0%,66.4900,"CASH CITIBANK (AUD)","CASH ANZ (NZD)","FISHER & PAYKEL HEALTHCARE","MACQUARIE GROUP","FLETCHER BUILDING","XERO","CSL","WESTPAC TERM DEPOSIT 3.09% 26/11/2018","ANZNZ TERM DEPOSIT 3.11% 20/02/2019","OOH MEDIA GROUP",13.7700,10.7200,6.8200,6.2500,6.1800,4.7100,4.6000,4.5400,4.5400,4.3600,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AU,NZ,NZ,AU,NZ,AU,AU,NZ,NZ,AU,,,,,,,,,,,"JAMES RING","ANDREW SOUTH","ROY CROSS","STEFAN STEVANOVIC",,"Investment Manager International Equities","Investment Manager Australasian Equities","Senior Analyst","Senior Analyst",,4,3,4,3,4,3,4,3,,,"Investment Manager, Rank Group Limited","Chief Investment Officer, Brook Asset Management Limited","Senior Analyst, Brook Asset Management Limited","Research Analyst, Brook Asset Management Limited",,1,0,4,1,8,7,6,7,,,
FND822,"QUAYSTREET AUSTRALIAN EQUITY FUND",OFR10673,10054,"CRAIGS INVESTMENT PARTNERS KIWISTART DEFINED SCHEME",Quarterly,2018-09-30,159,SCH10663,"QUAYSTREET KIWISAVER SCHEME","A portfolio of shares from Australia targeting a return above the long term performance of the Australian share market.",1131921.00,NZD,107,2011-04-05,"Market Index is the S&P/ASX 200 Index",13.97,12.19,12.85,5.47,4.19,2013,2014,2015,2016,2017,2018,,,,,17.62,-2.28,19.62,-9.59,20.49,2.54,,,,,16.86,-5.76,14.33,-6.09,12.89,2.56,,,,,1.28,1.12,0.00,0.16,42.00,NZD,17.0700,0.0000,0.0000,82.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0%-30%,0%-0%,0%-0%,0%-100%,0%-0%,0%-100%,0%-0%,0%-0%,0%-0%,60.8800,"CSL","CASH ANZ (NZD)","AUSTRALIA AND NZ BANKING GROUP","WESTPAC BANKING CORP","COMMONWEALTH BANK OF AUSTRALIA","MACQUARIE GROUP","BHP BILLITON LTD","CASH CITIBANK (AUD)","RESMED INC","SANTOS",7.7600,7.3900,7.3200,6.7800,6.4500,5.8500,5.2600,5.1900,4.8300,4.0500,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AU,NZ,AU,AU,AU,AU,AU,AU,AU,AU,,,,,,,,,,,"JAMES RING","ANDREW SOUTH","ROY CROSS","STEFAN STEVANOVIC",,"Investment Manager International Equities","Investment Manager Australasian Equities","Senior Analyst","Senior Analyst",,4,3,4,3,4,3,4,3,,,"Investment Manager, Rank Group Limited","Chief Investment Officer, Brook Asset Management Limited","Senior Analyst, Brook Asset Management Limited","Research Analyst, Brook Asset Management Limited",,1,0,4,1,8,7,6,7,,,
FND823,"QUAYSTREET BALANCED FUND",OFR10673,10054,"CRAIGS INVESTMENT PARTNERS KIWISTART DEFINED SCHEME",Quarterly,2018-09-30,159,SCH10663,"QUAYSTREET KIWISAVER SCHEME","A diversified portfolio with a balance between income and growth assets targeting a return above the Fund’s benchmark return.",53044990.00,NZD,1785,2007-10-23,"Market Index weighted 40% MSCI World Index (NZD), 10% S&P/NZX 50 Index, 10% S&P/ASX 200 Index, 30% S&P/NZX Investment Grade Corporate Bond Index and 10% NZX 90 day Bank Bill Index.",13.19,9.33,10.50,6.19,5.13,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-11.18,22.95,7.48,-0.83,13.14,6.74,13.11,4.73,9.51,7.55,-6.75,11.79,5.79,-1.78,10.55,3.21,10.20,4.65,6.12,5.71,1.01,0.89,0.00,0.12,42.00,NZD,23.9600,16.6100,7.5000,15.9500,35.2400,0.7400,0.0000,0.0000,0.0000,0.0000,0%-60%,0%-60%,0%-60%,0%-80%,0%-80%,0%-40%,0%-40%,0%-0%,0%-0%,62.8600,"CASH ANZ (NZD)","ISHARES CORE S&P 500 ETF","MSCI EAFE INCL CANADA TRS","WESTPAC TERM DEPOSIT 3.02% 24/10/2018","WESTPAC TERM DEPOSIT 2.57% 24/10/2018","ANZNZ TERM DEPOSIT 3.13% 24/10/2018","CASH CITIBANK (AUD)","FISHER & PAYKEL HEALTHCARE","ISHARES MSCI INDIA ETF","FLETCHER BUILDING",23.9600,17.6300,11.7500,1.9300,1.9300,1.5500,1.2500,0.9600,0.9600,0.9400,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,NZ,US,US,NZ,NZ,NZ,AU,NZ,US,NZ,,,,,,,,,,,"JAMES RING","ANDREW SOUTH","ROY CROSS","STEFAN STEVANOVIC",,"Investment Manager International Equities","Investment Manager Australasian Equities","Senior Analyst","Senior Analyst",,4,3,4,3,4,3,4,3,,,"Investment Manager, Rank Group Limited","Chief Investment Officer, Brook Asset Management Limited","Senior Analyst, Brook Asset Management Limited","Research Analyst, Brook Asset Management Limited",,1,0,4,1,8,7,6,7,,,
FND824,"QUAYSTREET SOCIALLY RESPONSIBLE INVESTMENT FUND",OFR10673,10054,"CRAIGS INVESTMENT PARTNERS KIWISTART DEFINED SCHEME",Quarterly,2018-09-30,159,SCH10663,"QUAYSTREET KIWISAVER SCHEME","A diversified portfolio with a balance between income and growth assets where investments are selected based on our environmental sustainability and socially responsible criteria targeting a return above the Fund’s benchmark. ",8501379.00,NZD,384,2007-11-12,"Market Index weighted 40% MSCI World Index (NZD), 10% S&P/NZX 50 Index, 10% S&P/ASX 200 Index, 30% S&P/NZX Investment Grade Corporate Bond Index and 10% NZX 90 day Bank Bill Index.",13.19,7.87,9.39,6.19,4.90,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-11.18,22.95,7.48,-0.83,13.14,6.74,13.11,4.73,9.51,7.55,-5.54,8.91,3.90,-3.04,11.94,5.23,10.50,1.65,5.23,4.51,1.28,1.10,0.00,0.18,42.00,NZD,24.1400,14.7700,8.8700,16.3200,35.4800,0.4200,0.0000,0.0000,0.0000,0.0000,0%-60%,0%-60%,0%-60%,0%-100%,0%-100%,0%-40%,0%-40%,0%-0%,0%-0%,68.9500,"CASH ANZ (NZD)","MSCI WORLD ESG TRS","ISHARES MSCI KLD 400 SOCIAL","CASH CITIBANK (USD)","BANK OF CHINA TD 3.62% 26/7/2019","ANZNZ TERM DEPOSIT 3.14% 14/05/2019","ISHARES MSCI EUROPE SRI ETF","MSCI EMU SRI - UBS ETF","MSCI JAPAN SRI - UBS ETF","STOCKLAND (NOV 2022)",23.5300,15.5000,10.2200,4.9300,4.8500,3.6300,1.9400,1.4900,1.4700,1.3900,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,NZ,US,US,US,NZ,NZ,DE,DE,DE,AU,,,,,,,,,,,"JAMES RING","ANDREW SOUTH","ROY CROSS","STEFAN STEVANOVIC",,"Investment Manager International Equities","Investment Manager Australasian Equities","Senior Analyst","Senior Analyst",,4,3,4,3,4,3,4,3,,,"Investment Manager, Rank Group Limited","Chief Investment Officer, Brook Asset Management Limited","Senior Analyst, Brook Asset Management Limited","Research Analyst, Brook Asset Management Limited",,1,0,4,1,8,7,6,7,,,
FND825,"QUAYSTREET CONSERVATIVE FUND",OFR10673,10054,"CRAIGS INVESTMENT PARTNERS KIWISTART DEFINED SCHEME",Quarterly,2018-09-30,159,SCH10663,"QUAYSTREET KIWISAVER SCHEME","A diversified portfolio, with an emphasis on fixed interest investments and less exposure to growth assets, targeting a return above the Fund’s benchmark return.",12768038.00,NZD,502,2007-10-23,"Market Index weighted 10% MSCI World Index (NZD), 5% S&P/NZX 50 Index, 5% S&P/ASX 200 Index, 60% S&P/NZX Investment Grade Corporate Bond Index and 20% NZX 90 day Bank Bill Index.",6.87,5.27,6.42,5.74,4.15,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,0.61,13.35,7.05,2.70,8.19,4.44,9.50,5.31,5.11,5.26,1.34,4.71,4.04,1.53,6.30,2.03,6.49,4.20,4.02,4.06,0.75,0.62,0.00,0.13,42.00,NZD,24.1800,39.2300,17.3700,8.6000,9.7500,0.8700,0.0000,0.0000,0.0000,0.0000,0%-100%,0%-100%,0%-100%,0%-20%,0%-20%,0%-20%,0%-20%,0%-0%,0%-0%,37.2400,"CASH ANZ (NZD)","ANZNZ TERM DEPOSIT 3.31% 27/02/2019","ISHARES CORE S&P 500 ETF","MSCI EAFE INCL CANADA TRS","SYDNEY AIRPORT INFLATION LINKED (NOV 2020)","GENESIS ENERGY (MAR 2023)","VECTOR (MAR 2024)","NZ GOVT INFLATION LINKED (SEP 2025)","CHORUS (MAY 2021)","ANZNZ TERM DEPOSIT 3.14% 14/05/2019",11.5900,7.3100,4.9200,3.2800,1.9000,1.8400,1.8200,1.7500,1.4200,1.4100,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ,NZ,US,US,AU,NZ,NZ,NZ,NZ,NZ,,,,,,,,,,,"JAMES RING","ANDREW SOUTH","ROY CROSS","STEFAN STEVANOVIC",,"Investment Manager International Equities","Investment Manager Australasian Equities","Senior Analyst","Senior Analyst",,4,3,4,3,4,3,4,3,,,"Investment Manager, Rank Group Limited","Chief Investment Officer, Brook Asset Management Limited","Senior Analyst, Brook Asset Management Limited","Research Analyst, Brook Asset Management Limited",,1,0,4,1,8,7,6,7,,,
